NAME,Predicted Rank
Giannis Antetokounmpo,13.2
Shai Gilgeous-Alexander,19.0
Paolo Banchero,27.4
Anthony Edwards,27.8
Luka Doncic,29.4
DeMar DeRozan,31.8
Damian Lillard,34.6
Tyrese Maxey,34.8
Kevin Durant,36.0
Jalen Brunson,36.0
Jayson Tatum,38.2
Anthony Davis,40.4
Mikal Bridges,42.4
De'Aaron Fox,43.6
Devin Booker,48.2
Dejounte Murray,48.8
Trae Young,49.0
Jaylen Brown,49.4
LeBron James,49.4
Nikola Jokic,50.4
Cade Cunningham,51.0
Jaren Jackson Jr.,51.2
Donovan Mitchell,53.6
Kyle Kuzma,54.6
Karl-Anthony Towns,55.6
Stephen Curry,56.8
Jalen Green,58.2
Kawhi Leonard,60.6
Collin Sexton,66.4
Jerami Grant,66.4
Jordan Clarkson,66.8
Victor Wembanyama,68.6
Miles Bridges,70.0
Alperen Sengun,70.4
Zion Williamson,71.6
Bam Adebayo,71.6
Franz Wagner,74.8
Brandon Ingram,75.8
Tyrese Haliburton,80.4
D'Angelo Russell,80.8
Devin Vassell,81.6
Domantas Sabonis,82.0
Cam Thomas,82.4
Austin Reaves,83.8
Scottie Barnes,84.6
Michael Porter Jr.,85.0
Jordan Poole,85.8
Brandon Miller,86.0
Joel Embiid,89.4
Keldon Johnson,90.0
Julius Randle,90.6
Bogdan Bogdanovic,92.6
Saddiq Bey,95.6
Nikola Vucevic,97.0
Coby White,98.2
Paul George,98.2
Jaden Ivey,98.4
Chet Holmgren,99.4
Fred VanVleet,100.2
Klay Thompson,102.4
Myles Turner,102.8
Anfernee Simons,104.6
Malik Monk,108.0
CJ McCollum,108.0
Derrick White,108.0
Jimmy Butler,110.2
James Harden,110.8
Lauri Markkanen,112.0
Tim Hardaway Jr.,115.0
Kyrie Irving,117.0
Jamal Murray,117.0
Jonathan Kuminga,119.6
Jalen Williams,120.2
Tobias Harris,120.2
Jeremy Sochan,120.4
John Collins,121.8
De'Andre Hunter,123.8
Bennedict Mathurin,127.8
Deni Avdija,127.8
Kristaps Porzingis,130.2
Bobby Portis,132.2
Keegan Murray,133.2
Pascal Siakam,133.2
Norman Powell,133.6
Rudy Gobert,134.6
Jusuf Nurkic,135.4
Cole Anthony,143.6
Aaron Gordon,144.2
Shaedon Sharpe,145.2
Kelly Oubre Jr.,147.0
Herbert Jones,147.0
Jarrett Allen,148.2
Desmond Bane,148.6
Josh Giddey,149.2
Brandin Podziemski,152.8
Malcolm Brogdon,158.2
Donte DiVincenzo,158.4
Darius Garland,161.4
Naz Reid,165.2
Andrew Wiggins,165.4
Jonas Valanciunas,166.2
Jaime Jaquez Jr.,166.4
Nic Claxton,167.8
Moritz Wagner,170.0
Bilal Coulibaly,174.6
Isaac Okoro,174.6
Gary Trent Jr.,177.6
Jabari Smith Jr.,181.0
Caris LeVert,181.0
Dennis Schroder,182.0
Spencer Dinwiddie,183.0
Russell Westbrook,185.8
Jalen Johnson,186.8
Josh Hart,187.0
Khris Middleton,187.0
Reggie Jackson,187.8
Deandre Ayton,187.8
Duncan Robinson,189.4
Max Strus,189.4
Keyonte George,189.4
Obi Toppin,190.2
Terry Rozier,190.2
Ayo Dosunmu,191.2
Wendell Carter Jr.,193.4
Harrison Barnes,194.2
Brook Lopez,194.4
RJ Barrett,195.6
Luguentz Dort,197.0
Dillon Brooks,197.2
Corey Kispert,197.6
Tyus Jones,197.6
Tyler Herro,197.6
Grayson Allen,198.8
Scoot Henderson,199.0
Clint Capela,200.0
Aaron Nesmith,200.4
Jrue Holiday,205.4
Jalen Duren,208.4
Alec Burks,209.2
Isaiah Hartenstein,210.2
Jalen Suggs,210.4
Kentavious Caldwell-Pope,213.2
Rui Hachimura,214.4
Cameron Johnson,215.0
Bradley Beal,216.2
P.J. Washington,216.6
Malaki Branham,216.8
Jaden McDaniels,216.8
Evan Mobley,220.6
Kevin Huerter,222.2
Zach Collins,222.2
Caleb Martin,223.6
Talen Horton-Tucker,225.2
Peyton Watson,225.2
Toumani Camara,225.2
Tre Jones,225.6
Zach LaVine,226.4
Immanuel Quickley,226.6
Bojan Bogdanovic,226.6
Malik Beasley,227.0
Dereck Lively II,227.4
LaMelo Ball,227.8
Ausar Thompson,228.2
Daniel Theis,228.4
Andre Drummond,229.2
Killian Hayes,232.4
Alex Caruso,233.4
Derrick Jones Jr.,233.6
Terance Mann,235.2
Mike Conley,239.4
Jaden Hardy,242.6
Jakob Poeltl,242.6
Ivica Zubac,242.6
Ziaire Williams,242.6
Vince Williams Jr.,243.4
RJ Barrett,243.6
Jabari Walker,243.6
Matisse Thybulle,244.8
