NAME
Joel Embiid
Luka Doncic
Shai Gilgeous-Alexander
Giannis Antetokounmpo
Kevin Durant
Donovan Mitchell
Devin Booker
De'Aaron Fox
Jayson Tatum
Stephen Curry
Jalen Brunson_10
Trae Young_11
Anthony Edwards_12
Nikola Jokic_13
Tyrese Maxey_14
LeBron James_15
Kyrie Irving_16
Ja Morant_17
Anthony Davis_18
Damian Lillard_19
Desmond Bane_20
Julius Randle_21
LaMelo Ball_22
Kawhi Leonard_23
Terry Rozier_24
Lauri Markkanen_25
DeMar DeRozan_26
Jaylen Brown_27
Paolo Banchero_28
Anfernee Simons_29
Cade Cunningham_30
Kyle Kuzma_31
Jaren Jackson Jr._32
Pascal Siakam_33
Paul George_34
Karl-Anthony Towns_35
Zion Williamson_36
Dejounte Murray_37
Jimmy Butler_38
Brandon Ingram_39
Miles Bridges_40
Cam Thomas_41
Jamal Murray_42
Alperen Sengun_43
Jerami Grant_44
Mikal Bridges_45
RJ Barrett_46
Tyler Herro_47
Tyrese Haliburton_48
Victor Wembanyama_49
Pascal Siakam_50
Kristaps Porzingis_51
Bojan Bogdanovic_52
Domantas Sabonis_53
Franz Wagner_54
Bam Adebayo_55
Scottie Barnes_56
Coby White_57
Zach LaVine_58
Devin Vassell_59
Jalen Williams_60
Darius Garland_61
Bradley Beal_62
CJ McCollum_63
Jalen Green_64
Collin Sexton_65
RJ Barrett_66
Nikola Vucevic_67
D'Angelo Russell_68
Immanuel Quickley_69
James Harden_70
Jordan Clarkson_71
Klay Thompson_72
Tobias Harris_73
Myles Turner_74
Brandon Miller_75
Bogdan Bogdanovic_76
Fred VanVleet_77
Chet Holmgren_78
Michael Porter Jr._79
Jordan Poole_80
Jarrett Allen_81
Tim Hardaway Jr._82
Keldon Johnson_83
Jonathan Kuminga_84
Shaedon Sharpe_85
Malik Monk_86
Austin Reaves_87
Malcolm Brogdon_88
Jalen Johnson_89
Evan Mobley_90
OG Anunoby_91
Jaden Ivey_92
De'Andre Hunter_93
Simone Fontecchio_94
OG Anunoby_95
Derrick White_96
Immanuel Quickley_97
Deandre Ayton_98
Khris Middleton_99
Terry Rozier_100_1
Kelly Oubre Jr._101_1
Keegan Murray_102_1
John Collins_103_1
Dennis Schroder_104_1
Gordon Hayward_105_1
Marcus Smart_106_1
Bennedict Mathurin_107_1
Buddy Hield_108_1
Donte DiVincenzo_109_1
Trey Murphy III_110_1
Aaron Gordon_111_1
Caris LeVert_112_1
Norman Powell_113_1
Cameron Johnson_114_1
Deni Avdija_115_1
Jalen Duren_116_1
Dennis Schroder_117_1
Rudy Gobert_118_1
Saddiq Bey_119_1
P.J. Washington_120_1
Marvin Bagley III_121_1
Dalano Banton_122_1
Duncan Robinson_123_1
Grant Williams_124_1
Jabari Smith Jr._125_1
Jonas Valanciunas_126_1
Bobby Portis_127_1
Grayson Allen_128_1
Jrue Holiday_129_1
Dillon Brooks_130_1
Scoot Henderson_131_1
Jaime Jaquez Jr._132_1
Naz Reid_133_1
Mark Williams_134_1
Alec Burks_135_1
Spencer Dinwiddie_136_1
Andrew Wiggins_137_1
Rui Hachimura_138_1
Corey Kispert_139_1
Keyonte George_140_1
Brook Lopez_141_1
Gary Trent Jr._142_1
Nic Claxton_143_1
Aaron Nesmith_144_1
Bojan Bogdanovic_145_1
Max Strus_146_1
Jalen Suggs_147_1
Harrison Barnes_148_1
Bruce Brown_149_1
Cam Whitmore_150_1
Eric Gordon_151_1
Tyus Jones_152_1
Buddy Hield_153_1
GG Jackson_154_1
Cole Anthony_155_1
Jusuf Nurkic_156_1
Ivica Zubac_157_1
Wendell Carter Jr._158_1
Jeremy Sochan_159_1
Tre Mann_160_1
De'Anthony Melton_161_1
Josh Giddey_162_1
Malik Beasley_163_1
