NAME,Unique_Rank,Trade Value,Label
_0,1,572.0,Superstar
_1,1,572.0,Superstar
Shai _2,1,572.0,Superstar
Gia_3,1,572.0,Superstar
_4,1,572.0,Superstar
_5,1,572.0,Superstar
_6,1,572.0,Superstar
_7,1,572.0,Superstar
_8,1,572.0,Superstar
_9,1,572.0,Superstar
_10,1,572.0,Superstar
_11,1,572.0,Superstar
_12,1,572.0,Superstar
_13,1,572.0,Superstar
_14,15,558.0,Superstar
_15,15,558.0,Superstar
_16,15,558.0,Superstar
_17,15,558.0,Superstar
_18,15,558.0,Superstar
_19,15,558.0,Superstar
_20,15,558.0,Superstar
_21,15,558.0,Superstar
_22,15,558.0,Superstar
_23,15,558.0,Superstar
_24,15,558.0,Superstar
_25,15,558.0,Superstar
_26,15,558.0,Superstar
_27,15,558.0,Superstar
_28,15,558.0,Superstar
_29,15,558.0,Superstar
_30,15,558.0,Superstar
_31,15,558.0,Superstar
Ja_32,15,558.0,Superstar
_33,15,558.0,Superstar
_34,15,558.0,Superstar
Kar_35,15,558.0,Superstar
_36,15,558.0,Superstar
_37,38,526.3142857142857,Superstar
_38,38,526.3142857142857,Superstar
_39,38,526.3142857142857,Superstar
_40,38,526.3142857142857,Superstar
_41,38,526.3142857142857,Superstar
_42,38,526.3142857142857,Superstar
_43,38,526.3142857142857,Superstar
_44,38,526.3142857142857,Superstar
_45,38,526.3142857142857,Superstar
_46,38,526.3142857142857,Superstar
_47,38,526.3142857142857,Superstar
Ty_48,38,526.3142857142857,Superstar
Vi_49,38,526.3142857142857,Superstar
_50,38,526.3142857142857,Superstar
Kri_51,38,526.3142857142857,Superstar
B_52,38,526.3142857142857,Superstar
D_53,54,526.3142857142857,Superstar
_54,54,526.3142857142857,Superstar
_55,54,526.3142857142857,Superstar
_56,54,526.3142857142857,Superstar
_57,54,526.3142857142857,Superstar
_58,54,526.3142857142857,Superstar
_59,54,526.3142857142857,Superstar
_60,54,526.3142857142857,Superstar
_61,54,526.3142857142857,Superstar
_62,54,526.3142857142857,Superstar
_63,54,526.3142857142857,Superstar
_64,54,526.3142857142857,Superstar
_65,54,526.3142857142857,Superstar
_66,54,526.3142857142857,Superstar
_67,54,526.3142857142857,Superstar
D_68,54,526.3142857142857,Superstar
Im_69,54,526.3142857142857,Superstar
_70,54,526.3142857142857,Superstar
_71,54,526.3142857142857,Superstar
_72,73,500.0,Starter
_73,73,500.0,Starter
_74,73,500.0,Starter
_75,73,500.0,Starter
Bo_76,73,500.0,Starter
_77,73,500.0,Starter
_78,73,500.0,Starter
Mic_79,73,500.0,Starter
_80,73,500.0,Starter
_81,73,500.0,Starter
T_82,73,500.0,Starter
_83,73,500.0,Starter
J_84,73,500.0,Starter
_85,73,500.0,Starter
_86,73,500.0,Starter
_87,73,500.0,Starter
_88,89,484.0,Starter
_89,89,484.0,Starter
_90,89,484.0,Starter
_91,89,484.0,Starter
_92,89,484.0,Starter
_93,89,484.0,Starter
Si_94,89,484.0,Starter
_95,89,484.0,Starter
_96,89,484.0,Starter
Im_97,89,484.0,Starter
_98,89,484.0,Starter
_99,89,484.0,Starter
_100,89,484.0,Starter
Kel_101,89,484.0,Starter
K_102,89,484.0,Starter
_103,89,484.0,Starter
Den_104,89,484.0,Starter
Go_105,89,484.0,Starter
_106,89,484.0,Starter
Benned_107,89,484.0,Starter
_108,89,484.0,Starter
Dont_109,89,484.0,Starter
Tre_110,111,462.0,Starter
_111,111,462.0,Starter
_112,111,462.0,Starter
N_113,111,462.0,Starter
Cam_114,111,462.0,Starter
_115,111,462.0,Starter
_116,111,462.0,Starter
Den_117,111,462.0,Starter
_118,111,462.0,Starter
_119,111,462.0,Starter
P.J_120,111,462.0,Starter
Marvi_121,111,462.0,Starter
D_122,111,462.0,Starter
Dun_123,111,462.0,Starter
Gr_124,111,462.0,Starter
Jaba_125,111,462.0,Starter
Jonas_126,111,462.0,Starter
_127,111,462.0,Starter
G_128,129,444.0,Starter
_129,129,444.0,Starter
D_130,129,444.0,Starter
Sco_131,129,444.0,Starter
Jaim_132,129,444.0,Starter
_133,129,444.0,Starter
M_134,129,444.0,Starter
_135,129,444.0,Starter
Spenc_136,129,444.0,Starter
An_137,129,444.0,Starter
R_138,129,444.0,Starter
C_139,129,444.0,Starter
Ke_140,129,444.0,Starter
_141,129,444.0,Starter
Ga_142,129,444.0,Starter
_143,129,444.0,Starter
A_144,129,444.0,Starter
Boja_145,129,444.0,Starter
_146,129,444.0,Starter
_147,129,444.0,Starter
Har_148,129,444.0,Starter
_149,129,444.0,Starter
_150,129,444.0,Starter
_151,152,421.0,Starter
_152,152,421.0,Starter
_153,152,421.0,Starter
_154,152,421.0,Starter
_155,152,421.0,Starter
_156,152,421.0,Starter
_157,152,421.0,Starter
Wendel_158,152,421.0,Starter
J_159,152,421.0,Starter
_160,152,421.0,Starter
De'An_161,152,421.0,Starter
_162,152,421.0,Starter
M_163,152,421.0,Starter
P.J_164,152,421.0,Starter
_165,152,421.0,Starter
_166,152,421.0,Starter
H_167,152,421.0,Starter
L_168,152,421.0,Starter
_169,152,421.0,Starter
M_170,152,421.0,Starter
Lonn_171,152,421.0,Starter
Russe_172,152,421.0,Starter
_173,152,421.0,Starter
Is_174,152,421.0,Starter
_175,176,397.0,Starter
