Position,Predicted_Name,Actual_Name
1,Nikola Jokic,Luka Doncic
2,Trae Young,Damian Lillard
3,Jalen Brunson,Shai Gilgeous-Alexander
4,Stephen Curry,Giannis Antetokounmpo
6,De'Aaron Fox,Kevin Durant
7,Anthony Edwards,Stephen Curry
8,Donovan Mitchell,LeBron James
9,Kevin Durant,Donovan Mitchell
10,Giannis Antetokounmpo,Devin Booker
11,Shai Gilgeous-Alexander,Kyrie Irving
12,Luka Doncic,Kyrie Irving
13,Devin Booker,Jaylen Brown
14,Paolo Banchero,Ja Morant
15,Anfernee Simons,Trae Young
16,Cade Cunningham,Mikal Bridges
17,Kyle Kuzma,Kevin Durant
18,Paul George,Zion Williamson
19,Pascal Siakam,Anthony Davis
20,Karl-Anthony Towns,Lauri Markkanen
21,Zion Williamson,Julius Randle
22,Jaylen Brown,De'Aaron Fox
23,Jaren Jackson Jr.,Zach LaVine
24,Lauri Markkanen,Brandon Ingram
25,DeMar DeRozan,Anthony Edwards
26,LeBron James,DeMar DeRozan
27,Kawhi Leonard,Nikola Jokic
28,LaMelo Ball,Pascal Siakam
29,Julius Randle,Jalen Brunson
30,Desmond Bane,Paul George
31,Damian Lillard,Kawhi Leonard
32,Anthony Davis,LaMelo Ball
33,Ja Morant,Bradley Beal
34,Kyrie Irving,Kristaps Porzingis
35,Tyrese Maxey,Jimmy Butler
36,Terry Rozier,Jalen Green
37,Jalen Williams,Keldon Johnson
38,Devin Vassell,Klay Thompson
39,Zach LaVine,Bojan Bogdanovic
40,Bam Adebayo,Darius Garland
41,Scottie Barnes,Desmond Bane
42,Darius Garland,Kyle Kuzma
43,Coby White,Terry Rozier
44,Bradley Beal,Anfernee Simons
45,D'Angelo Russell,James Harden
46,Jalen Green,CJ McCollum
47,Collin Sexton,Jordan Clarkson
48,RJ Barrett,Karl-Anthony Towns
49,Nikola Vucevic,Tyrese Haliburton
50,James Harden,Jerami Grant
51,Jordan Clarkson,Dejounte Murray
52,CJ McCollum,Bam Adebayo
53,Franz Wagner,Jordan Poole
54,Immanuel Quickley,Tyrese Maxey
55,Bojan Bogdanovic,Kelly Oubre Jr.
56,Dejounte Murray,Tyler Herro
57,Jimmy Butler,Paolo Banchero
58,Domantas Sabonis,Jamal Murray
59,Brandon Ingram,Cade Cunningham
60,Cam Thomas,RJ Barrett
61,Jamal Murray,Jrue Holiday
62,Alperen Sengun,Fred VanVleet
63,Mikal Bridges,Domantas Sabonis
64,RJ Barrett,Jaren Jackson Jr.
65,Tyler Herro,Franz Wagner
66,Tyrese Haliburton,Devin Vassell
67,Pascal Siakam,Deandre Ayton
68,Kristaps Porzingis,Myles Turner
69,Jerami Grant,D'Angelo Russell
70,Jarrett Allen,Spencer Dinwiddie
71,Austin Reaves,Nikola Vucevic
72,Malik Monk,Michael Porter Jr.
73,Shaedon Sharpe,D'Angelo Russell
74,Jonathan Kuminga,Gary Trent Jr.
75,Keldon Johnson,Mikal Bridges
76,Tim Hardaway Jr.,Andrew Wiggins
77,Jordan Poole,Norman Powell
78,Bogdan Bogdanovic,Buddy Hield
79,Fred VanVleet,Bennedict Mathurin
80,Myles Turner,Josh Giddey
81,Tobias Harris,Cameron Johnson
82,Klay Thompson,Christian Wood
83,Michael Porter Jr.,Spencer Dinwiddie
84,Donte DiVincenzo,Aaron Gordon
85,Kelly Oubre Jr.,Jaden Ivey
86,Keegan Murray,Evan Mobley
87,John Collins,Brook Lopez
88,Bennedict Mathurin,Russell Westbrook
89,Gordon Hayward,Russell Westbrook
90,Marcus Smart,P.J. Washington
91,Buddy Hield,De'Andre Hunter
92,Terry Rozier,Scottie Barnes
93,Dennis Schroder,Skylar Mays
94,Khris Middleton,Wendell Carter Jr.
95,Derrick White,Kevin Huerter
96,Immanuel Quickley,Khris Middleton
97,Jalen Johnson,Harrison Barnes
98,Evan Mobley,Malcolm Brogdon
99,Malcolm Brogdon,Immanuel Quickley
100,De'Andre Hunter,Saddiq Bey
101,Simone Fontecchio,Alperen Sengun
102,Jaden Ivey,Tobias Harris
103,Deandre Ayton,Gordon Hayward
104,P.J. Washington,Trey Murphy III
105,Bobby Portis,Tim Hardaway Jr.
106,Jonas Valanciunas,Jarrett Allen
107,Jabari Smith Jr.,Dillon Brooks
108,Grant Williams,Collin Sexton
109,Duncan Robinson,Bobby Portis
110,Dalano Banton,Jonas Valanciunas
111,Marvin Bagley III,Jalen Williams
112,Saddiq Bey,Bogdan Bogdanovic
113,Dennis Schroder,Mike Conley
114,Jalen Duren,Markelle Fultz
115,Deni Avdija,Cameron Johnson
116,Cameron Johnson,Chris Paul
117,Norman Powell,Luguentz Dort
118,Caris LeVert,Malik Monk
119,Aaron Gordon,Malik Beasley
120,Trey Murphy III,Rudy Gobert
121,Rudy Gobert,Jusuf Nurkic
122,Brook Lopez,Kris Dunn
123,Gary Trent Jr.,John Collins
124,Nic Claxton,Eric Gordon
125,Aaron Nesmith,Jakob Poeltl
126,Bruce Brown,Cole Anthony
127,Max Strus,Devonte' Graham
128,Jalen Suggs,Rui Hachimura
129,Harrison Barnes,Jordan Nwora
130,Bojan Bogdanovic,Austin Reaves
131,Corey Kispert,Tre Jones
132,Andrew Wiggins,Alec Burks
133,Grayson Allen,Jabari Smith Jr.
134,Jrue Holiday,Kenyon Martin Jr.
135,Dillon Brooks,James Wiseman
136,Rui Hachimura,Nic Claxton
137,Naz Reid,Dennis Schroder
138,Mark Williams,Kelly Olynyk
139,Alec Burks,Derrick White
140,Spencer Dinwiddie,Keegan Murray
141,Kelly Olynyk,Mason Plumlee
142,Isaiah Stewart,Thomas Bryant
143,Jakob Poeltl,Bones Hyland
144,Russell Westbrook,Caris LeVert
145,Lonnie Walker IV,Jaden McDaniels
146,Moritz Wagner,Jakob Poeltl
147,Clint Capela,Marvin Bagley III
148,Lamar Stevens,Clint Capela
149,Herbert Jones,Lonnie Walker IV
150,Zach Collins,Saddiq Bey
151,Malik Beasley,Zach Collins
152,P.J. Washington,Bruce Brown
153,De'Anthony Melton,Naz Reid
154,Josh Giddey,Josh Richardson
155,Eric Gordon,Marcus Smart
156,Tyus Jones,Max Strus
157,Buddy Hield,Quentin Grimes
158,Cole Anthony,Luke Kennard
159,Ivica Zubac,Isaiah Stewart
160,Wendell Carter Jr.,Kyle Lowry
161,Jeremy Sochan,Marcus Morris Sr.
162,Tre Mann,Malik Beasley
163,Jusuf Nurkic,Corey Kispert
164,Nick Richards,Julian Champagnie
165,Onyeka Okongwu,Eric Gordon
166,Reggie Jackson,Cam Reddish
167,Kentavious Caldwell-Pope,Jeremy Sochan
168,Patrick Williams,Reggie Jackson
169,Vince Williams Jr.,Kentavious Caldwell-Pope
170,Josh Richardson,Bones Hyland
171,Talen Horton-Tucker,Sandro Mamukelashvili
172,Isaac Okoro,Jaylen Nowell
173,Tari Eason,Ivica Zubac
174,Marvin Bagley III,Mike Conley
175,Patty Mills,Talen Horton-Tucker
176,Jalen Smith,Jalen McDaniels
177,Daniel Gafford,Svi Mykhailiuk
178,Luke Kennard,Cam Thomas
179,Jaden McDaniels,Moritz Wagner
180,Luguentz Dort,Grayson Allen
181,Ayo Dosunmu,Killian Hayes
182,Mike Conley,Tyus Jones
183,Daniel Gafford,Monte Morris
184,Santi Aldama,Cameron Payne
185,Scotty Pippen Jr.,Malaki Branham
186,Caleb Martin,Josh Hart
187,Obi Toppin,Doug McDermott
188,Cameron Payne,Patrick Williams
189,Kevin Huerter,De'Anthony Melton
190,Dorian Finney-Smith,Aaron Nesmith
191,Seth Curry,Jonathan Kuminga
192,Georges Niang,Onyeka Okongwu
193,Derrick Jones Jr.,Shaedon Sharpe
