Unique_Rank,NAME
1,Joel Embiid
1,Nikola Jokic
1,Trae Young
1,Jalen Brunson
1,Stephen Curry
1,Jayson Tatum
1,De'Aaron Fox
1,Anthony Edwards
1,Donovan Mitchell
1,Kevin Durant
1,Giannis Antetokounmpo
1,Shai Gilgeous-Alexander
1,Luka Doncic
1,Devin Booker
15,Paolo Banchero
15,Anfernee Simons
15,Cade Cunningham
15,Kyle Kuzma
15,Paul George
15,Pascal Siakam
15,Karl-Anthony Towns
15,Zion Williamson
15,Jaylen Brown
15,Jaren Jackson Jr.
15,DeMar DeRozan
15,LaMelo Ball
15,Terry Rozier
15,Tyrese Maxey
15,Lauri Markkanen
15,Kyrie Irving
15,Ja Morant
15,Anthony Davis
15,LeBron James
15,Desmond Bane
15,Julius Randle
15,Kawhi Leonard
15,Damian Lillard
38,RJ Barrett
38,Bojan Bogdanovic
38,Kristaps Porzingis
38,Pascal Siakam
38,Victor Wembanyama
38,Tyrese Haliburton
38,Tyler Herro
38,Mikal Bridges
38,Brandon Ingram
38,Alperen Sengun
38,Jamal Murray
38,Cam Thomas
38,Miles Bridges
38,Jimmy Butler
38,Dejounte Murray
38,Jerami Grant
54,Jordan Clarkson
54,James Harden
54,Immanuel Quickley
54,D'Angelo Russell
54,Nikola Vucevic
54,RJ Barrett
54,Collin Sexton
54,Jalen Green
54,CJ McCollum
54,Bradley Beal
54,Jalen Williams
54,Devin Vassell
54,Zach LaVine
54,Coby White
54,Scottie Barnes
54,Bam Adebayo
54,Franz Wagner
54,Domantas Sabonis
54,Darius Garland
73,Tim Hardaway Jr.
73,Austin Reaves
73,Malik Monk
73,Shaedon Sharpe
73,Jonathan Kuminga
73,Keldon Johnson
73,Jordan Poole
73,Jarrett Allen
73,Chet Holmgren
73,Michael Porter Jr.
73,Fred VanVleet
73,Bogdan Bogdanovic
73,Brandon Miller
73,Myles Turner
73,Tobias Harris
73,Klay Thompson
89,Kelly Oubre Jr.
89,Keegan Murray
89,John Collins
89,Dennis Schroder
89,Buddy Hield
89,Marcus Smart
89,Bennedict Mathurin
89,Terry Rozier
89,Donte DiVincenzo
89,Gordon Hayward
89,Khris Middleton
89,Deandre Ayton
89,Immanuel Quickley
89,Malcolm Brogdon
89,Evan Mobley
89,OG Anunoby
89,Jaden Ivey
89,Jalen Johnson
89,Simone Fontecchio
89,OG Anunoby
89,Derrick White
89,De'Andre Hunter
111,P.J. Washington
111,Jonas Valanciunas
111,Jabari Smith Jr.
111,Grant Williams
111,Duncan Robinson
111,Dalano Banton
111,Bobby Portis
111,Saddiq Bey
111,Marvin Bagley III
111,Dennis Schroder
111,Jalen Duren
111,Deni Avdija
111,Cameron Johnson
111,Norman Powell
111,Caris LeVert
111,Aaron Gordon
111,Trey Murphy III
111,Rudy Gobert
129,Brook Lopez
129,Gary Trent Jr.
129,Nic Claxton
129,Aaron Nesmith
129,Bruce Brown
129,Max Strus
129,Jalen Suggs
129,Harrison Barnes
129,Cam Whitmore
129,Bojan Bogdanovic
129,Corey Kispert
129,Keyonte George
129,Andrew Wiggins
129,Spencer Dinwiddie
129,Alec Burks
129,Mark Williams
129,Naz Reid
129,Jaime Jaquez Jr.
129,Scoot Henderson
129,Dillon Brooks
129,Jrue Holiday
129,Grayson Allen
129,Rui Hachimura
152,Kelly Olynyk
152,Zach Collins
152,Herbert Jones
152,Lamar Stevens
152,Clint Capela
152,Isaiah Stewart
152,Lonnie Walker IV
152,Russell Westbrook
152,Jakob Poeltl
152,P.J. Washington
152,Moritz Wagner
152,Malik Beasley
152,Eric Gordon
152,De'Anthony Melton
152,Tyus Jones
152,Buddy Hield
152,GG Jackson
152,Cole Anthony
152,Josh Giddey
152,Ivica Zubac
152,Wendell Carter Jr.
152,Jeremy Sochan
152,Tre Mann
152,Jusuf Nurkic
176,Vasilije Micic
176,Cameron Payne
176,Obi Toppin
176,Caleb Martin
176,Scotty Pippen Jr.
176,Santi Aldama
176,Kevin Huerter
176,Mike Conley
176,Daniel Gafford
176,Ayo Dosunmu
176,Luguentz Dort
176,Daniel Gafford
176,Luke Kennard
189,Brandin Podziemski
189,Isaac Okoro
189,Talen Horton-Tucker
189,Patty Mills
189,Vince Williams Jr.
189,Nick Richards
189,Tari Eason
189,Kentavious Caldwell-Pope
189,Patrick Williams
189,Jaden McDaniels
189,Jalen Smith
189,Josh Richardson
189,Marvin Bagley III
189,Onyeka Okongwu
189,Reggie Jackson
204,Tre Jones
204,Davis Bertans
204,Alex Caruso
204,Duop Reath
204,Chris Paul
209,Dorian Finney-Smith
209,Derrick Jones Jr.
209,Malaki Branham
209,Seth Curry
209,Dereck Lively II
209,Georges Niang
209,Bruce Brown
209,Simone Fontecchio
209,Ausar Thompson
209,Andrew Nembhard
209,T.J. McConnell
209,Draymond Green
209,Kevin Love
209,Jordan Hawkins
209,Josh Hart
209,Taurean Prince
209,Precious Achiuwa
226,Sam Hauser
226,Moses Moody
226,Isaiah Joe
226,Grant Williams
226,Kelly Olynyk
226,Ziaire Williams
226,Terance Mann
226,Markelle Fultz
226,Andre Drummond
226,Bilal Coulibaly
226,Walker Kessler
226,Dante Exum
226,David Roddy
226,Dario Saric
226,Jabari Walker
226,Josh Green
226,Royce O'Neale
226,Danilo Gallinari
226,Kyle Lowry
245,DeJon Jarreau
245,Cody Martin
245,Jordan Goodwin
245,Jake LaRavia
245,Matt Ryan
245,Sam Merrill
245,Precious Achiuwa
245,Kyle Lowry
245,Jaden Hardy
245,Amen Thompson
245,Al Horford
245,Payton Pritchard
245,Derrick Rose
245,Nickeil Alexander-Walker
259,Alec Burks
259,Day'Ron Sharpe
259,Evan Fournier
259,Trey Lyles
259,Gary Harris
259,Trey Jemison
259,Landry Shamet
259,Kevin Knox II
259,Toumani Camara
259,Naji Marshall
259,Quentin Grimes
259,Marcus Sasser
259,Royce O'Neale
259,Paul Reed
273,Cedi Osman
273,Marcus Morris Sr.
273,Shake Milton
273,Gradey Dick
273,Isaiah Hartenstein
273,Dennis Smith Jr.
273,Cason Wallace
273,Peyton Watson
273,Robert Williams III
273,Killian Hayes
273,Christian Wood
273,Trayce Jackson-Davis
273,Jose Alvarado
273,Keon Johnson
273,Isaiah Jackson
273,Danilo Gallinari
273,Christian Braun
290,Chris Boucher
290,Daniel Theis
290,Aaron Holiday
290,Miles McBride
294,Ben Simmons
294,Richaun Holmes
294,Ochai Agbaji
294,Xavier Tillman
294,Doug McDermott
294,Mason Plumlee
294,Jae Crowder
294,Jeff Green
294,Nick Smith Jr.
294,Amir Coffey
294,Nikola Jovic
294,Julian Champagnie
294,Bones Hyland
294,Cam Reddish
294,Mitchell Robinson
294,Cameron Payne
294,Craig Porter
294,Skylar Mays
294,James Wiseman
294,Jonathan Isaac
294,Aaron Wiggins
294,Kyle Anderson
294,Patrick Beverley
317,Matisse Thybulle
317,Haywood Highsmith
317,Sasha Vezenkov
317,Jordan Nwora
317,Ricky Council IV
317,Trendon Watford
317,Jaylen Nowell
317,Torrey Craig
317,Pat Connaughton
317,Taylor Hendricks
327,Onuralp Bitim
327,Julian Strawther
