Unique_Rank,NAME,Label
1,Joel Embiid,Superstar
1,Nikola Jokic,Superstar
1,Trae Young,Superstar
1,Jalen Brunson,Superstar
1,Stephen Curry,Superstar
1,Jayson Tatum,Superstar
1,De'Aaron Fox,Superstar
1,Anthony Edwards,Superstar
1,Donovan Mitchell,Superstar
1,Kevin Durant,Superstar
1,Giannis Antetokounmpo,Superstar
1,Shai Gilgeous-Alexander,Superstar
1,Luka Doncic,Superstar
1,Devin Booker,Superstar
15,Paolo Banchero,Starter
15,Anfernee Simons,Starter
15,Cade Cunningham,Starter
15,Kyle Kuzma,Starter
15,Paul George,Starter
15,Pascal Siakam,Starter
15,Karl-Anthony Towns,Starter
15,Zion Williamson,Starter
15,Jaylen Brown,Starter
15,Jaren Jackson Jr.,Starter
15,DeMar DeRozan,Starter
15,LaMelo Ball,Starter
15,Terry Rozier,Starter
15,Tyrese Maxey,Starter
15,Lauri Markkanen,Starter
15,Kyrie Irving,Starter
15,Ja Morant,Starter
15,Anthony Davis,Starter
15,LeBron James,Starter
15,Desmond Bane,Starter
15,Julius Randle,Starter
15,Kawhi Leonard,Starter
15,Damian Lillard,Starter
38,RJ Barrett,Starter
38,Bojan Bogdanovic,Starter
38,Kristaps Porzingis,Starter
38,Pascal Siakam,Starter
38,Victor Wembanyama,Starter
38,Tyrese Haliburton,Starter
38,Tyler Herro,Starter
38,Mikal Bridges,Starter
38,Brandon Ingram,Starter
38,Alperen Sengun,Starter
38,Jamal Murray,Starter
38,Cam Thomas,Starter
38,Miles Bridges,Starter
38,Jimmy Butler,Starter
38,Dejounte Murray,Starter
38,Jerami Grant,Starter
54,Jordan Clarkson,Role Player
54,James Harden,Role Player
54,Immanuel Quickley,Role Player
54,D'Angelo Russell,Role Player
54,Nikola Vucevic,Role Player
54,RJ Barrett,Role Player
54,Collin Sexton,Role Player
54,Jalen Green,Role Player
54,CJ McCollum,Role Player
54,Bradley Beal,Role Player
54,Jalen Williams,Role Player
54,Devin Vassell,Role Player
54,Zach LaVine,Role Player
54,Coby White,Role Player
54,Scottie Barnes,Role Player
54,Bam Adebayo,Role Player
54,Franz Wagner,Role Player
54,Domantas Sabonis,Role Player
54,Darius Garland,Role Player
73,Tim Hardaway Jr.,Role Player
