RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Predicted_Rank,Unique_Rank
,Joel Embiid,Phi,C,30.0,34,34.0,39.2,14.3,403,0.883,642,0.562,112,0.366,0.56,0.645,35.3,11.3,5.7,1.1,1.8,3.7,46.6,41.0,52.3,15.5,125.2,106.0,10.214285714285714,1
,Nikola Jokic,Den,C,29.1,63,34.3,29.3,14.2,348,0.828,928,0.628,186,0.349,0.611,0.651,26.2,12.3,9.2,1.3,0.9,2.9,38.5,35.4,47.7,16.8,131.9,105.6,10.214285714285714,1
,Trae Young,Atl,G,25.5,51,36.5,30.5,18.3,396,0.856,526,0.473,456,0.371,0.512,0.581,26.4,2.7,10.8,1.4,0.2,4.3,29.1,37.2,39.9,10.0,117.9,118.6,10.214285714285714,1
,Jalen Brunson,Nyk,G,27.5,60,35.1,30.8,10.7,367,0.842,814,0.51,393,0.405,0.541,0.59,26.9,3.7,6.6,0.9,0.2,2.4,30.6,33.5,37.2,9.9,123.5,112.0,10.214285714285714,1
,Stephen Curry,Gol,G,36.0,59,32.8,31.6,13.1,276,0.92,451,0.517,713,0.407,0.574,0.618,26.9,4.4,4.9,0.8,0.4,3.0,31.3,31.9,36.2,10.2,118.5,115.0,10.214285714285714,1
,Jayson Tatum,Bos,F,26.0,62,35.9,30.1,11.5,413,0.831,688,0.547,518,0.375,0.553,0.604,27.0,8.4,4.9,1.0,0.6,2.5,35.4,31.9,40.3,11.5,120.8,107.0,10.214285714285714,1
,De'Aaron Fox,Sac,G,26.2,56,35.7,31.4,11.3,344,0.718,751,0.535,424,0.366,0.54,0.571,27.1,4.3,5.6,1.9,0.4,2.7,31.4,32.7,37.0,9.7,113.8,112.1,10.214285714285714,1
,Anthony Edwards,Min,G,22.6,63,35.1,32.6,13.5,411,0.837,835,0.511,425,0.367,0.525,0.578,26.4,5.3,5.0,1.3,0.6,3.1,31.7,31.5,36.8,10.1,112.2,106.8,10.214285714285714,1
,Donovan Mitchell,Cle,G,27.5,47,35.7,31.9,12.5,287,0.864,533,0.553,428,0.371,0.555,0.605,28.0,5.4,6.2,1.8,0.5,2.9,33.4,34.1,39.6,11.0,118.7,107.7,10.214285714285714,1
,Kevin Durant,Pho,F,35.5,58,37.3,29.8,14.6,376,0.854,826,0.568,308,0.425,0.587,0.636,28.5,6.7,5.5,0.9,1.3,3.3,35.2,33.9,40.7,10.9,120.1,113.0,10.214285714285714,1
,Giannis Antetokounmpo,Mil,F,29.3,63,35.0,33.0,15.3,696,0.662,1064,0.648,113,0.292,0.628,0.654,30.8,11.2,6.4,1.2,1.0,3.4,42.0,37.2,48.4,14.9,126.5,106.9,10.214285714285714,1
,Shai Gilgeous-Alexander,Okc,G,25.7,64,34.4,33.1,9.7,564,0.881,1069,0.579,225,0.378,0.577,0.645,31.1,5.6,6.4,2.1,1.0,2.2,36.7,37.5,43.1,12.1,130.7,107.8,10.214285714285714,1
,Luka Doncic,Dal,G,25.0,57,37.5,36.0,14.2,510,0.788,761,0.585,594,0.38,0.579,0.624,34.6,9.1,9.9,1.5,0.6,3.9,43.6,44.4,53.5,15.6,123.6,111.9,10.214285714285714,1
,Devin Booker,Pho,G,27.4,51,35.8,30.2,11.7,353,0.881,696,0.546,297,0.374,0.55,0.611,27.5,4.6,6.8,0.9,0.4,2.6,32.1,34.4,39.0,10.6,124.1,110.9,10.214285714285714,1
,Paolo Banchero,Orl,F,21.3,63,34.9,29.9,14.8,447,0.707,854,0.491,265,0.358,0.502,0.547,22.8,6.8,5.2,1.0,0.6,3.1,29.7,28.0,34.9,10.7,108.9,108.7,28.142857142857142,15
,Anfernee Simons,Por,G,24.8,41,34.5,28.3,13.3,158,0.911,396,0.467,359,0.387,0.521,0.565,22.7,3.6,5.4,0.5,0.1,2.8,26.3,28.1,31.8,8.8,112.3,117.1,28.142857142857142,15
,Cade Cunningham,Det,G,22.5,54,33.8,29.9,15.9,242,0.868,699,0.492,297,0.36,0.507,0.553,22.6,4.3,7.5,0.9,0.4,3.5,26.8,30.1,34.4,10.7,109.7,116.3,28.142857142857142,15
,Kyle Kuzma,Was,F,28.6,63,32.3,30.2,12.2,218,0.78,771,0.532,425,0.336,0.522,0.549,22.5,6.6,4.2,0.5,0.7,2.6,29.1,26.7,33.3,10.6,104.6,116.8,28.142857142857142,15
,Paul George,Lac,G,33.9,58,34.0,26.5,11.1,223,0.888,504,0.516,475,0.396,0.554,0.595,22.1,5.3,3.6,1.6,0.4,2.1,27.4,25.7,31.0,8.8,116.4,109.0,28.142857142857142,15
,Pascal Siakam,Tor,F,29.9,39,34.7,25.3,11.8,223,0.758,478,0.584,145,0.317,0.559,0.6,22.2,6.3,4.8,0.8,0.3,2.1,28.5,27.0,33.3,10.1,118.9,114.9,28.142857142857142,15
,Karl-Anthony Towns,Min,F,28.3,60,32.8,27.4,15.4,286,0.874,614,0.55,317,0.423,0.579,0.628,22.1,8.4,3.0,0.7,0.7,2.8,30.5,25.1,33.5,10.0,116.0,100.2,28.142857142857142,15
,Zion Williamson,Nor,F,23.7,53,30.7,28.8,14.3,354,0.695,785,0.581,14,0.357,0.58,0.614,22.1,5.6,5.2,0.9,0.6,2.5,27.8,27.3,33.0,11.2,121.2,109.0,28.142857142857142,15
,Jaylen Brown,Bos,F,27.4,59,33.4,28.6,11.4,254,0.705,709,0.573,344,0.349,0.557,0.58,22.9,5.6,3.7,1.1,0.5,2.3,28.5,26.6,32.2,9.3,114.3,106.4,28.142857142857142,15
,Jaren Jackson Jr.,Mem,F,24.5,57,32.0,30.5,12.2,366,0.809,666,0.502,322,0.326,0.497,0.557,22.4,5.6,2.1,1.1,1.6,2.4,28.0,24.6,30.2,8.0,106.7,105.7,28.142857142857142,15
,DeMar DeRozan,Chi,F,34.6,63,37.7,24.8,8.1,468,0.863,864,0.499,179,0.341,0.501,0.58,23.0,4.2,5.3,1.0,0.6,1.5,27.2,28.3,32.6,8.5,123.6,115.1,28.142857142857142,15
,LaMelo Ball,Cha,G,22.6,22,32.3,33.9,16.4,104,0.865,226,0.5,197,0.355,0.515,0.561,23.9,5.1,8.0,1.8,0.2,3.8,29.0,31.9,37.0,12.3,110.6,109.8,28.142857142857142,15
